73-531 R 3.513447
64-877 N 1.162372
85-913 R 0.948790
41-507 N 3.200496
63-915 S 3.629287
72-139 N 3.822288
34-471 R 1.130014
94-912 R 2.910017
24-378 S 3.118911
80-808 R 1.054487
66-104 N 3.859409
90-200 S 3.864718
33-729 N 1.184263
83-879 N 3.418877
98-946 R 1.083039
62-859 N 2.811874
67-268 S 3.523875
79-731 R 0.315838
35-341 S 0.213213
24-651 N 0.139993
78-564 N 1.199644
10-676 S 2.465652
19-489 N 0.372971
75-184 N 3.895731
41-597 R 2.003728
24-579 R 1.373010
75-997 S 2.577105
27-128 R 0.659950
46-294 N 1.297328
10-565 S 2.179214
21-521 S 0.581571
66-554 S 3.677866
66-293 N 0.117509
11-505 R 0.710710
80-741 S 2.675362
18-126 S 1.746345
42-233 N 0.326963
94-145 S 2.561582
18-592 R 1.822901
21-873 R 3.530064
38-876 N 0.589660
23-543 N 2.574714
37-166 N 1.165818
44-518 R 2.082506
48-348 N 1.867609
22-888 R 1.986448
72-722 S 0.835578
12-854 R 2.262479
54-965 R 1.825627
46-140 R 2.647714
80-276 R 3.187812
77-700 N 0.337194
51-422 R 0.876887
17-135 R 0.005846
30-439 N 3.820391
44-126 R 1.223779
51-532 S 1.477254
61-273 R 3.800519
27-688 R 3.955287
38-102 S 1.417518
25-950 S 3.555913
78-148 N 0.569566
12-846 N 0.824019
76-733 S 3.562047
49-178 N 1.528623
60-401 R 3.950799
33-583 N 1.473100
27-933 R 2.709254
51-996 R 3.053001
46-327 S 2.279306
83-515 R 0.774243
33-412 N 3.469647
89-680 S 3.427674
53-212 N 0.991207
42-448 N 1.259289
59-946 S 0.342591
93-298 N 1.183817
85-984 R 2.729278
24-155 N 1.576759
22-571 N 1.414900
50-177 R 0.843598
63-711 S 3.678434
77-745 S 0.760745
96-760 R 3.201008
74-712 N 0.900330
36-592 R 3.414635
62-612 R 3.988363
73-147 S 0.543138
83-185 S 3.684739
76-697 R 0.304402
43-279 S 2.954411
12-257 S 1.070691
78-684 N 3.795623
95-864 N 0.118806
22-596 R 3.285989
15-167 R 1.609386
91-465 N 0.066373
53-152 S 2.900549
21-835 S 1.430819
62-102 R 3.007577
63-494 S 3.486293
94-912 N 1.120482
45-380 R 1.055752
12-997 R 2.984578
78-908 N 2.972455
14-710 S 1.655766
96-433 S 3.061477
26-800 N 2.678791
16-204 R 1.268861
53-955 S 3.990715
98-922 S 2.730842
87-964 R 0.456962
90-958 S 3.410100
81-893 S 0.158305
34-597 N 1.156277
87-128 R 3.114947
54-782 R 1.001308
87-365 R 1.180256
31-272 N 0.811803
19-971 R 0.729961
81-578 R 1.910248
11-147 N 1.001633
72-937 S 1.821820
40-484 S 3.989465
28-979 S 1.715536
31-647 S 3.026954
45-966 S 1.007409
60-223 S 0.697521
33-919 N 3.282661
59-818 N 1.223880
12-624 S 3.036210
35-427 S 0.220728
17-545 R 3.021230
25-351 N 0.242731
19-331 R 0.839069
65-491 S 1.757596
31-927 N 3.588079
83-277 S 1.980255
90-411 N 1.760574
87-620 N 1.372622
92-722 S 1.916307
85-295 R 0.369318
93-170 S 1.556317
84-270 R 0.604159
73-755 N 1.345045
94-466 N 0.777464
17-998 R 3.212237
70-761 R 1.008654
20-104 N 2.173807
44-408 S 0.121653
74-314 S 0.515712
69-312 R 1.117784
28-778 N 3.043624
50-685 N 1.528842
70-508 N 0.229197
86-402 N 3.834560
90-295 R 3.029773
34-377 R 1.967498
71-534 R 0.480083
34-810 S 2.154551
91-329 R 2.092879
10-315 S 3.618648
10-664 R 3.460194
